ticker,company_name,year,market_cap,category,sector,price,ret_1d,low_52w,high_52w,from_low_pct,from_high_pct,sma_20d,sma_50d,sma_200d,ret_3d,ret_7d,ret_30d,ret_3m,ret_6m,ret_1y,ret_3y,ret_5y,volume_1d,volume_7d,volume_30d,volume_90d,volume_180d,vol_ratio_1d_90d,vol_ratio_7d_90d,vol_ratio_30d_90d,vol_ratio_1d_180d,vol_ratio_7d_180d,vol_ratio_30d_180d,vol_ratio_90d_180d,rvol,prev_close,pe,eps_current,eps_last_qtr,eps_change_pct
ACE,Action Construction Equipment Ltd,1995,"₹13,469 Cr",Mid Cap,"Machinery, Equipment & Components","₹1,128",-1.10%,₹917,"₹1,600",22.95%,-29.50%,"₹1,177","₹1,215","₹1,260",-1.45%,-1.84%,-7.11%,-6.32%,-8.59%,-18.93%,409.24%,1908.89%,110048,132747,140113,235757,261420,-53.32%,-43.69%,-40.57%,-57.90%,-49.22%,-46.40%,-9.82%,0.5,"₹1,141",33,34,25,37.48%
MAANALU,Maan Aluminium Ltd,2003,₹655 Cr,Small Cap,Metals & Mining,₹121,-1.28%,₹76,₹260,59.58%,-53.56%,₹121,₹120,₹121,-0.59%,1.45%,-4.88%,41.83%,4.56%,-12.08%,271.00%,1731.31%,25547,40146,29762,98583,86961,-74.09%,-59.28%,-69.81%,-70.62%,-53.83%,-65.78%,13.36%,0.3,₹122,42,3,2,91.33%
PGIL,Pearl Global Industries Ltd,1989,"₹7,067 Cr",Mid Cap,Textiles & Apparel,"₹1,538",3.12%,₹840,"₹1,717",83.07%,-10.44%,"₹1,538","₹1,438","₹1,302",3.66%,-5.51%,4.40%,58.97%,19.09%,72.74%,730.46%,2794.32%,75192,96592,78635,103667,129794,-27.47%,-6.82%,-24.15%,-42.07%,-25.58%,-39.42%,-20.13%,0.7,"₹1,491",29,53,45,17.49%
FOCUS,Focus Lighting and Fixtures Ltd,2005,₹670 Cr,Small Cap,Homebuilding & Construction Supplies,₹100,0.17%,₹64,₹144,57.49%,-30.24%,₹105,₹107,₹106,0.20%,-2.37%,-16.54%,-6.27%,-1.26%,-25.59%,333.04%,,15144,34280,48739,171276,210348,-91.16%,-79.99%,-71.54%,-92.80%,-83.70%,-76.83%,-18.57%,0.1,₹100,45,2,2,49.33%
RUCHIRA,Ruchira Papers Ltd,1980,₹413 Cr,Micro Cap,Paper & Forest Products,₹139,-0.19%,₹107,₹153,29.80%,-9.41%,₹140,₹138,₹127,-0.19%,-0.63%,-0.19%,15.91%,16.91%,2.97%,32.27%,235.81%,27460,52319,79049,75524,60179,-63.64%,-30.73%,4.67%,-54.37%,-13.06%,31.36%,25.50%,0.4,₹139,6,23,25,-9.76%
INGERRAND,Ingersoll-Rand (India) Ltd,1921,"₹12,836 Cr",Mid Cap,"Machinery, Equipment & Components","₹4,062",-0.23%,"₹3,055","₹4,694",32.97%,-13.46%,"₹4,058","₹3,948","₹3,886",-0.03%,-4.25%,6.86%,7.29%,7.02%,-3.43%,147.96%,563.94%,6372,8150,13645,19440,21145,-67.22%,-58.07%,-29.81%,-69.87%,-61.45%,-35.47%,-8.06%,0.3,"₹4,071",48,85,85,-0.31%
PRAJIND,Praj Industries Ltd,1985,"₹9,035 Cr",Mid Cap,Construction & Engineering,₹490,-0.48%,₹444,₹875,10.46%,-43.96%,₹497,₹496,₹608,-0.60%,-3.07%,-3.08%,-5.61%,-32.76%,-30.92%,23.95%,676.00%,248321,371202,525054,882567,883366,-71.86%,-57.94%,-40.51%,-71.89%,-57.98%,-40.56%,-0.09%,0.3,₹493,41,12,9,32.33%
DLINKINDIA,D Link (India) Limited,2008,"₹1,832 Cr",Small Cap,Communications & Networking,₹516,-0.07%,₹349,₹729,47.66%,-29.20%,₹549,₹527,₹501,-1.16%,-4.07%,-4.77%,13.99%,4.72%,-18.13%,199.88%,480.34%,87773,134497,291986,244584,187676,-64.11%,-45.01%,19.38%,-53.23%,-28.34%,55.58%,30.32%,0.4,₹516,18,29,25,17.48%
KAMDHENU,Kamdhenu Ltd,1994,₹848 Cr,Small Cap,Metals & Mining,₹30,0.94%,₹25,₹67,19.64%,-55.38%,₹30,₹31,₹37,1.52%,-0.53%,-4.31%,11.40%,-28.32%,-40.72%,56.09%,321.35%,599393,604918,2843932,3331226,2700306,-82.01%,-81.84%,-14.63%,-77.80%,-77.60%,5.32%,23.36%,0.2,₹30,14,2,2,45.33%
FCL,Fineotex Chemical Ltd,2004,"₹3,175 Cr",Small Cap,Chemicals,₹277,0.75%,₹207,₹439,33.86%,-36.87%,₹276,₹265,₹289,-0.86%,-1.46%,-0.18%,13.86%,-17.74%,-25.05%,27.71%,812.01%,130794,450595,312110,599931,561879,-78.20%,-24.89%,-47.98%,-76.72%,-19.81%,-44.45%,6.77%,0.2,₹275,29,10,9,5.89%
